MR [2025-05-20 16:13:27] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:26] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:27] ❌ Invalid or empty data for MAXHEALTH, skipping.
MR [2025-05-20 16:17:34] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:17:40] ❌ Failed to fetch historical data: timed out
MR [2025-05-20 16:19:22] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:19:27] MAXHEALTH | Close: 1142.00, RSI: 59.31, BB Lower: 1138.82, BB Upper: 1143.83
MR [2025-05-20 16:19:27] MAXHEALTH | Close: 1141.90, RSI: 57.98, BB Lower: 1138.82, BB Upper: 1143.83
MR [2025-05-20 16:19:27] MAXHEALTH | Close: 1144.50, RSI: 74.93, BB Lower: 1138.72, BB Upper: 1143.98
MR [2025-05-20 16:19:28] SELL signal for MAXHEALTH at 1144.50 | RSI: 74.93
MR [2025-05-20 16:19:28] MAXHEALTH | Close: 1143.65, RSI: 64.94, BB Lower: 1138.60, BB Upper: 1144.41
MR [2025-05-20 16:19:28] MAXHEALTH | Close: 1143.85, RSI: 66.18, BB Lower: 1138.51, BB Upper: 1144.84
MR [2025-05-20 16:19:28] MAXHEALTH | Close: 1141.90, RSI: 47.22, BB Lower: 1139.17, BB Upper: 1144.60
MR [2025-05-20 16:19:28] MAXHEALTH | Close: 1139.25, RSI: 32.47, BB Lower: 1138.99, BB Upper: 1144.71
MR [2025-05-20 16:19:29] EXIT short MAXHEALTH at 1139.25 | PnL: 0.46%
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.65, RSI: 35.99, BB Lower: 1138.89, BB Upper: 1144.76
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.45, RSI: 42.93, BB Lower: 1138.74, BB Upper: 1144.78
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.35, RSI: 42.26, BB Lower: 1138.54, BB Upper: 1144.76
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.95, RSI: 47.94, BB Lower: 1138.45, BB Upper: 1144.66
